,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,4,302,10392,6920,1567,1241,.446,.353,.793,34.4,22.9,5.2,4.1,16.5,.076,0.9,7.7
2,2,GSW,James Wiseman,Memphis,3,147,2794,1344,829,110,.560,.267,.681,19.0,9.1,5.6,0.7,4.3,.073,-3.9,-1.4
3,3,CHO,LaMelo Ball,,4,184,5870,3675,1147,1364,.427,.374,.834,31.9,20.0,6.2,7.4,11.6,.095,2.8,7.1
4,4,CHI,Patrick Williams,Florida State,4,213,5902,2070,889,280,.469,.410,.780,27.7,9.7,4.2,1.3,8.0,.065,-1.9,0.2
5,5,CLE,Isaac Okoro,Auburn,4,279,7693,2371,800,468,.467,.347,.732,27.6,8.5,2.9,1.7,13.5,.084,-2.2,-0.4
6,6,ATL,Onyeka Okongwu,USC,4,233,4847,1972,1398,226,.640,.318,.754,20.8,8.5,6.0,1.0,17.7,.175,0.2,2.7
7,7,DET,Killian Hayes,,4,210,5479,1704,619,1090,.382,.277,.775,26.1,8.1,2.9,5.2,-0.5,-.004,-3.9,-2.7
8,8,NYK,Obi Toppin,Dayton,4,283,4693,2241,913,300,.520,.351,.768,16.6,7.9,3.2,1.1,12.3,.126,0.9,3.4
9,9,WAS,Deni Avdija,,4,287,7518,2826,1714,727,.457,.327,.737,26.2,9.8,6.0,2.5,9.1,.058,-1.9,0.3
10,10,PHO,Jalen Smith,Maryland,4,207,3406,1766,1075,157,.517,.335,.740,16.5,8.5,5.2,0.8,9.1,.128,-0.4,1.3
11,11,SAS,Devin Vassell,Florida State,4,239,6419,3239,889,605,.444,.369,.809,26.9,13.6,3.7,2.5,9.7,.072,-0.3,2.7
12,12,SAC,Tyrese Haliburton,Iowa State,4,260,8547,4483,960,2274,.478,.393,.856,32.9,17.2,3.7,8.7,27.2,.153,4.5,14.0
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6
14,14,BOS,Aaron Nesmith,Vanderbilt,4,243,5054,2029,768,251,.452,.374,.808,20.8,8.3,3.2,1.0,7.6,.072,-2.2,-0.2
15,15,ORL,Cole Anthony,UNC,4,253,6701,3385,1168,1032,.418,.343,.851,26.5,13.4,4.6,4.1,8.9,.064,-0.7,2.2
16,16,POR,Isaiah Stewart,Washington,4,235,6108,2196,1778,284,.498,.348,.727,26.0,9.3,7.6,1.2,11.1,.087,-2.2,-0.4
