player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Deandre Ayton,https://www.basketball-reference.com/players/a/aytonde01.html,33.5,11.6,20.1,1.6
Marvin Bagley III,https://www.basketball-reference.com/players/b/baglema01.html,33.9,11.1,21.0,1.5
Jaren Jackson Jr.,https://www.basketball-reference.com/players/j/jacksja02.html,21.8,5.8,10.9,1.1
Trae Young,https://www.basketball-reference.com/players/y/youngtr01.html,35.4,3.9,27.4,8.7
Mo Bamba,https://www.basketball-reference.com/players/b/bambamo01.html,30.2,10.5,12.9,0.5
Wendell Carter Jr.,https://www.basketball-reference.com/players/c/cartewe01.html,26.9,9.1,13.5,2.0
Collin Sexton,https://www.basketball-reference.com/players/s/sextoco01.html,29.9,3.8,19.2,3.6
Kevin Knox,https://www.basketball-reference.com/players/k/knoxke01.html,32.4,5.4,15.6,1.4
Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html,27.3,4.3,11.3,1.6
Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html,33.7,4.1,14.4,5.1
Miles Bridges,https://www.basketball-reference.com/players/b/bridgmi02.html,31.6,7.6,17.0,2.4
Jerome Robinson,https://www.basketball-reference.com/players/r/robinje01.html,34.6,3.8,17.7,3.3
Michael Porter Jr.,https://www.basketball-reference.com/players/p/portemi01.html,17.7,6.7,10.0,0.3
Troy Brown Jr.,https://www.basketball-reference.com/players/b/browntr01.html,31.2,6.2,11.3,3.2
Zhaire Smith,https://www.basketball-reference.com/players/s/smithzh01.html,28.4,5.0,11.3,1.8
Donte DiVincenzo,https://www.basketball-reference.com/players/d/divindo01.html,25.4,4.0,10.2,2.4
Lonnie Walker IV,https://www.basketball-reference.com/players/w/walkelo01.html,27.8,2.6,11.5,1.9
Kevin Huerter,https://www.basketball-reference.com/players/h/huertke01.html,31.9,5.0,12.0,3.0
Josh Okogie,https://www.basketball-reference.com/players/o/okogijo01.html,33.0,5.8,16.9,2.0
Grayson Allen,https://www.basketball-reference.com/players/a/allengr01.html,27.9,3.2,14.1,3.0
Chandler Hutchison,https://www.basketball-reference.com/players/h/hutchch01.html,24.0,5.5,12.0,2.1
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,31.8,3.2,14.3,4.7
Moritz Wagner,https://www.basketball-reference.com/players/w/wagnemo01.html,21.0,4.5,10.4,0.5
Landry Shamet,https://www.basketball-reference.com/players/s/shamela01.html,28.6,3.0,12.9,4.1
Robert Williams,https://www.basketball-reference.com/players/w/williro04.html,25.7,8.7,11.1,1.4
Jacob Evans,https://www.basketball-reference.com/players/e/evansja02.html,29.1,4.3,11.7,2.5
Omari Spellman,https://www.basketball-reference.com/players/s/spellom01.html,28.1,8.0,10.9,0.8
Jevon Carter,https://www.basketball-reference.com/players/c/carteje01.html,29.9,3.7,12.2,3.9
Jalen Brunson,https://www.basketball-reference.com/players/b/brunsja01.html,28.9,2.5,14.4,3.7
Devonte' Graham,https://www.basketball-reference.com/players/g/grahade01.html,31.7,3.1,12.3,4.5
Melvin Frazier,https://www.basketball-reference.com/players/f/frazime01.html,27.7,4.4,10.6,1.7
Gary Trent Jr.,https://www.basketball-reference.com/players/t/trentga02.html,33.9,4.2,14.5,1.4
Khyri Thomas,https://www.basketball-reference.com/players/t/thomakh01.html,27.2,4.6,11.2,2.5
Jarred Vanderbilt,https://www.basketball-reference.com/players/v/vandeja01.html,17.0,7.9,5.9,1.0
Bruce Brown,https://www.basketball-reference.com/players/b/brownbr01.html,32.6,6.2,11.7,3.5
Justin Jackson,https://www.basketball-reference.com/players/j/jacksju02.html,28.2,6.5,10.3,1.2
Hamidou Diallo,https://www.basketball-reference.com/players/d/diallha01.html,24.8,3.6,10.0,1.2
De'Anthony Melton,https://www.basketball-reference.com/players/m/meltode01.html,27.0,4.7,8.3,3.5
Svi Mykhailiuk,https://www.basketball-reference.com/players/m/mykhasv01.html,22.6,2.5,8.7,1.5
Keita Bates-Diop,https://www.basketball-reference.com/players/b/bateske01.html,24.8,5.7,11.7,1.1
Chimezie Metu,https://www.basketball-reference.com/players/m/metuch01.html,27.0,6.3,12.3,1.2
Tony Carr,https://www.basketball-reference.com/players/c/carrto01.html,34.2,4.9,16.6,4.6
Vince Edwards,https://www.basketball-reference.com/players/e/edwarvi01.html,28.7,5.6,11.9,2.9
Devon Hall,https://www.basketball-reference.com/players/h/hallde01.html,24.0,3.2,6.9,2.1
Shake Milton,https://www.basketball-reference.com/players/m/miltosh01.html,34.7,3.9,13.4,3.9
Ray Spalding,https://www.basketball-reference.com/players/s/spaldra01.html,21.7,6.3,8.1,0.9
Kevin Hervey,https://www.basketball-reference.com/players/h/herveke01.html,27.7,8.0,15.5,1.9
Thomas Welsh,https://www.basketball-reference.com/players/w/welshth01.html,25.0,7.8,9.5,0.8
George King,https://www.basketball-reference.com/players/k/kingge03.html,22.6,5.4,10.2,0.7
Kostas Antetokounmpo,https://www.basketball-reference.com/players/a/antetko01.html,15.1,2.9,5.2,0.4
Zion Williamson,https://www.basketball-reference.com/players/w/willizi01.html,30.0,8.9,22.6,2.1
Ja Morant,https://www.basketball-reference.com/players/m/moranja01.html,35.3,6.1,18.7,8.2
RJ Barrett,https://www.basketball-reference.com/players/b/barrerj01.html,35.3,7.6,22.6,4.3
De'Andre Hunter,https://www.basketball-reference.com/players/h/huntede01.html,26.6,4.4,12.4,1.6
Darius Garland,https://www.basketball-reference.com/players/g/garlada01.html,27.8,3.8,16.2,2.6
Jarrett Culver,https://www.basketball-reference.com/players/c/culveja01.html,29.5,5.6,14.9,2.8
Coby White,https://www.basketball-reference.com/players/w/whiteco01.html,28.5,3.5,16.1,4.1
Jaxson Hayes,https://www.basketball-reference.com/players/h/hayesja02.html,23.3,5.0,10.0,0.3
Rui Hachimura,https://www.basketball-reference.com/players/h/hachiru01.html,19.7,4.4,12.1,0.8
Cam Reddish,https://www.basketball-reference.com/players/r/reddica01.html,29.7,3.7,13.5,1.9
Cameron Johnson,https://www.basketball-reference.com/players/j/johnsca02.html,25.4,4.1,11.2,1.8
P.J. Washington,https://www.basketball-reference.com/players/w/washipj01.html,28.3,6.6,12.9,1.7
Tyler Herro,https://www.basketball-reference.com/players/h/herroty01.html,32.6,4.5,14.0,2.5
Romeo Langford,https://www.basketball-reference.com/players/l/langfro01.html,34.1,5.4,16.5,2.3
Chuma Okeke,https://www.basketball-reference.com/players/o/okekech01.html,25.5,6.3,9.9,1.5
Nickeil Alexander-Walker,https://www.basketball-reference.com/players/a/alexani01.html,29.9,4.0,13.5,2.7
Matisse Thybulle,https://www.basketball-reference.com/players/t/thybuma01.html,29.4,3.1,9.2,2.0
Brandon Clarke,https://www.basketball-reference.com/players/c/clarkbr01.html,27.8,7.7,14.5,1.9
Grant Williams,https://www.basketball-reference.com/players/w/willigr01.html,28.9,6.5,15.7,2.1
Ty Jerome,https://www.basketball-reference.com/players/j/jeromty01.html,26.4,3.0,9.6,3.7
Nassir Little,https://www.basketball-reference.com/players/l/littlna01.html,18.2,4.6,9.8,0.7
Dylan Windler,https://www.basketball-reference.com/players/w/windldy01.html,29.4,7.8,13.2,2.0
Mfiondu Kabengele,https://www.basketball-reference.com/players/k/kabenmf01.html,18.3,5.3,10.3,0.3
Jordan Poole,https://www.basketball-reference.com/players/p/poolejo01.html,22.7,2.2,9.4,1.4
Keldon Johnson,https://www.basketball-reference.com/players/j/johnske04.html,30.7,5.9,13.5,1.6
Kevin Porter Jr.,https://www.basketball-reference.com/players/p/porteke02.html,22.1,4.0,9.5,1.4
Nic Claxton,https://www.basketball-reference.com/players/c/claxtni01.html,23.0,6.2,8.4,1.0
KZ Okpala,https://www.basketball-reference.com/players/o/okpalkz01.html,30.8,4.8,13.8,1.9
Carsen Edwards,https://www.basketball-reference.com/players/e/edwarca01.html,29.4,3.4,17.8,2.5
Bruno Fernando,https://www.basketball-reference.com/players/f/fernabr01.html,26.4,8.7,12.0,1.4
Cody Martin,https://www.basketball-reference.com/players/m/martico01.html,28.9,4.6,9.7,3.6
